photo_id,angry,disgust,fear,happy,sad,surprise,neutral,dominant_emotion
1,0.572730973,1.18E-07,10.76866686,0.011911038,8.347655088,80.2967608,0.002274189,surprise
2,1.706449298,0.014628967,16.68232928,0.019563758,81.38256891,0.005708498,0.188744779,sad
3,0.592279656,6.10E-05,6.68177868,0.349705384,3.475966512,1.690991324,87.20921798,neutral
4,29.46241796,0.017816231,16.10174626,0.202602241,27.07827687,8.078175038,19.05896664,angry
5,2.013669668,3.71E-05,3.927197584,0.120348644,0.037265885,93.89967991,0.00179573,surprise
6,18.3631279,0.011275761,34.99636829,2.081977514,16.03855299,17.42709518,11.08159812,fear
7,37.94762945,1.002324865,29.43095022,0.007041406,28.7185435,2.275589939,0.617929435,angry
8,6.092864294,0.000316402,57.83151295,0.055307656,1.847971756,34.17006324,0.001961918,fear
9,10.41561514,0.004492451,7.786092907,0.025370377,69.11985874,0.066790049,12.58177757,sad
10,2.449010831,0.000951809,23.13039441,0.069086543,73.9906534,0.115104003,0.244796803,sad
11,0,0,0,0,0,0,0,not found
12,24.24526364,0.055499334,21.92766666,0.027897078,50.75355768,1.82887055,1.161245629,sad
13,0.099193573,1.16E-07,43.72799098,0.043988513,0.031938235,56.09680414,8.90E-05,surprise
14,8.200800419,0.000246098,3.235796466,0.001324875,83.48460793,0.004607969,5.072619766,sad
15,0,0,0,0,0,0,0,not found
16,5.74217625,6.66E-06,0.157646229,0.047951491,42.54586697,51.42450333,0.081847579,surprise
17,38.08044947,0.003392272,6.514511289,0.008632434,53.45243257,0.118876263,1.821710573,sad
18,27.81158255,0.11341633,5.10684841,0.000565587,65.79800044,0.118799456,1.050787854,sad
19,16.93359613,0.021029657,6.836285442,0.003063933,76.20012164,0.00439669,0.001501801,sad
20,0,0,0,0,0,0,0,not found
21,11.10670136,0.042921966,4.932786309,0.178752178,81.17687331,0.052861269,2.509093917,sad
22,40.13179243,0.002445769,2.896895818,0.002631623,56.75910711,0.002870459,0.204254151,sad
23,7.613594667,0.001245707,75.70203832,3.909593355,10.17193077,0.535154745,2.066439703,fear
24,11.77920397,0.193647249,9.859891078,0.663591728,0.559211556,76.70051913,0.243933839,surprise
25,0,0,0,0,0,0,0,not found
26,0.211493567,5.69E-06,5.500060275,0.005261386,0.047889,94.23189129,0.00339873,surprise
27,46.05226517,0.041211926,18.84640604,0.325668394,31.73031211,0.325558637,2.678579092,angry
28,9.836298227,0.066734815,19.91201937,0.013571054,68.25555563,0.178413128,1.73740834,sad
29,35.57037711,0.030429207,19.515194,0.028375667,42.80150533,0.390739599,1.663378626,sad
30,0.034927044,1.59E-07,0.044286004,3.70E-06,99.9135673,0.001500612,0.005719901,sad
31,1.759206608,0.000201168,23.0641051,0.609726681,0.536767006,74.00966132,0.020331966,surprise
32,6.844374537,0.017010848,4.609091207,0.018972919,87.93407083,0.199086964,0.377395144,sad
33,36.53506041,0.030732827,13.116844,0.003321753,49.66149926,0.125065981,0.527476287,sad
34,0.267164665,0.000752571,5.522687733,0.018252134,93.24198961,0.002483655,0.946673471,sad
35,37.99407411,0.748137103,18.49478146,0.010820095,42.63753251,0.09511438,0.019546768,sad
36,0.806337595,3.08E-05,5.130214244,0.152433233,0.028651764,92.4678266,1.414511353,surprise
37,13.10376525,0.195768382,21.38493657,0.628089206,41.36681259,1.349407993,21.97122276,sad
38,4.642083868,0.017733632,2.055179887,0.179492845,80.02045155,0.075857737,13.00920099,sad
39,0,0,0,0,0,0,0,not found
40,67.96347117,0.025410205,14.98620987,0.0543384,10.19972833,4.858769311,1.912080724,angry
41,9.690707512,0.020227927,58.01373625,0.057425465,31.2195234,0.246469484,0.751907801,fear
42,0,0,0,0,0,0,0,not found
43,26.15974532,0.009920644,39.33190533,0.085470879,12.51752674,21.63985859,0.255564267,fear
44,3.878349901,0.000127686,12.75142732,0.001983129,82.83577357,0.059994469,0.472346005,sad
45,26.86978005,0.092653679,6.077468747,0.223123355,64.65888794,0.578941101,1.499146309,sad
46,28.2760786,0.016181253,5.091091176,16.55026773,21.17795474,24.06516219,4.823264395,angry
47,51.65406466,0.013282918,3.275611624,0.027814353,36.46325171,0.061956211,8.504012972,angry
48,16.99761653,0.003887004,30.52837319,0.019550294,0.665704054,51.78415797,0.000713403,surprise
49,0,0,0,0,0,0,0,not found
50,0.087123121,1.40E-09,8.480114224,4.20E-05,0.000418081,91.43229825,7.45E-07,surprise
51,65.29823955,0.165227059,13.62472014,0.006424892,20.62066548,0.01294988,0.271764924,angry
52,15.28929323,0.006537005,52.87879705,0.007888247,28.68827879,2.874081954,0.255124317,fear
53,2.130107886,5.85E-07,5.616585613,0.041223554,0.012170543,92.19986293,4.65E-05,surprise
54,4.832196236,0.002073168,29.43717539,0.545735145,61.1086607,0.394918723,3.679244965,sad
